	blood_group	job	sex	name	company	race	ssn	birthdate	current_location
176	O-	Solicitor, Scotland	F	Lynn Howard	Becker-Brown	Hawaiian	621-08-7948	2012/03/18	(Decimal('-78.675676'), Decimal('-21.285873'))
177	AB-	Market researcher	M	Christian Reed	Gibson and Sons	White	479-66-0628	08/27/1927, 00:00:00	(Decimal('29.117143'), Decimal('-80.434886'))
178	B-	Theme park manager	M	Ryan Stephens	Clark-Wade	Black	309-78-0370	03 Oct 1911	(Decimal('-13.129528'), Decimal('168.615460'))
179	B-	Radio producer	F	Denise Richards	James-Golden	White	604-29-8230	2003-08-21	(Decimal('-69.454810'), Decimal('-85.960856'))
180	AB-	Chief Marketing Officer	F	Desiree Myers	Hunt Ltd	White	560-02-3172	1970-08-12	(Decimal('-73.6229535'), Decimal('99.138890'))
181	A+	Physicist, medical	M	Chris Skinner	Wheeler and Sons	blsck	509-47-3510	1908-09-29	(Decimal('8.750764'), Decimal('-78.501668'))
182	AB-	Psychologist, clinical	M	Thomas Moore	Murphy Group	Black	200-72-2016	1955-08-11	(Decimal('70.777342'), Decimal('-38.282037'))
183	AB-	Geologist, engineering	M	Larry Johnson	Hamilton, Miles and Bryant	White	615-74-7817	1918/08/18	(Decimal('2.881000'), Decimal('159.958051'))
184	B+	Financial manager	F	Yvonne Cordova	Thomas, Moore and Silva	White	258-75-2530	1997-04-24	(Decimal('-84.7517135'), Decimal('-7.909718'))
185	AB-	Set designer	F	Lindsay Conner	Shah Group	Hawaiian	292-93-5949	1977/04/13	(Decimal('1.1145945'), Decimal('-70.675043'))
186	O+	Interpreter	F	Rebecca Bauer	Moyer, Henson and Baker	White	381-81-2878	2005-05-31	(Decimal('-35.803470'), Decimal('-87.061809'))
187	A+	Mechanical engineer	F	Margaret Cordova	Davis and Sons	White	502-80-0279	10 Jun 1941	(Decimal('63.1065805'), Decimal('-71.744224'))
188	A-	Public relations account executive	F	Lisa Mckenzie	Edwards-Higgins	White	645-61-9102	03/27/1999, 00:00:00	(Decimal('-0.3978255'), Decimal('-35.394239'))
189	O+	Textile designer	M	James Hernandez	Cole, Dunn and Reynolds	White	517-17-1094	1914-09-29	(Decimal('62.4601245'), Decimal('151.272251'))
190	O-	Youth worker	F	Amber Olson	Singh-Snyder	Asian	856-37-8355	14 Dec 1940	(Decimal('-19.869803'), Decimal('-16.933348'))
191	A-	Quality manager	F	Rebecca Price	Garcia, Marshall and Smith	White	782-58-2280	1995/09/21	(Decimal('12.6811045'), Decimal('131.043411'))
192	O+	Secretary, company	M	Jason Collins	Boyer, Moreno and Wright	White	541-05-1175	11/15/1960, 00:00:00	(Decimal('-65.2476715'), Decimal('-76.452743'))
193	AB-	Dealer	M	Robert Jackson	Francis Inc	Indian	651-68-9317	29 Nov 2006	(Decimal('-5.6153265'), Decimal('-94.485334'))
194	O-	Teacher, English as a foreign language	F	Laurie Hernandez	Rodriguez, Willis and George	White	267-27-9251	20 Jul 1956	(Decimal('-49.076239'), Decimal('-28.123909'))
195	AB-	Scientist, water quality	M	Alan Jones	Mcgee PLC	White	642-21-8017	1999/02/19	(Decimal('75.7325655'), Decimal('97.759805'))
196	O+	Counsellor	M	Johnny Fuller	Murray-Henry	White	823-33-8627	08/03/1980, 00:00:00	(Decimal('89.932544'), Decimal('96.872113'))
197	B+	Logistics and distribution manager	F	Melissa Cox	Rodriguez-Logan	White	085-52-4398	1930-01-08	(Decimal('4.5817995'), Decimal('106.665692'))
198	B-	Geneticist, molecular	M	Brian Oconnor	Hernandez, Hebert and Anderson	White	758-84-4431	1927/02/27	(Decimal('-72.254529'), Decimal('123.493503'))
199	O+	Estate manager/land agent	M	Anthony Mcdaniel	Jones PLC	Black	596-28-5793	04 Jan 2006	(Decimal('82.640842'), Decimal('-51.309276'))
200	B+	Psychologist, occupational	F	Misty Duffy	Dixon Ltd	White	459-52-1544	08/01/1978, 00:00:00	(Decimal('36.3172125'), Decimal('29.655246'))
201	AB+	Biochemist, clinical	F	Shannon Baldwin	Silva-Garner	Asian	366-80-4641	12 Mar 1969	(Decimal('-55.9149915'), Decimal('161.481819'))
202	O+	Chief Financial Officer	M	Todd Benton	White-Fry	White	141-43-4990	1988-10-18	(Decimal('21.995423'), Decimal('117.393795'))
203	AB+	Operations geologist	M	Brian Young	Hull LLC	Black	510-02-9971	1938/02/16	(Decimal('75.2101575'), Decimal('166.842997'))
204	A-	Secondary school teacher	M	Kevin Saunders	Wilson-Lee	White	557-91-4194	1961-04-18	(Decimal('-6.5488245'), Decimal('100.929586'))
205	B+	Theatre director	M	Andre Romero	Miller Group	White	039-26-3927	1924/07/02	(Decimal('5.575503'), Decimal('-174.645827'))
206	AB+	Engineer, drilling	M	David Rivera	Strickland, Velasquez and Miles	White	190-53-7060	04/18/1958, 00:00:00	(Decimal('-52.2373015'), Decimal('-115.419057'))
207	O-	Land	F	Brianna Greer	Wilson-Johnson	White	524-22-5730	2021-04-27	(Decimal('-89.1133485'), Decimal('77.554581'))
208	O+	Administrator, sports	F	Heather Herring	Yates-Johnson	White	691-03-1785	06/03/2002, 00:00:00	(Decimal('-65.6612635'), Decimal('-103.077740'))
209	B+	International aid/development worker	F	April Higgins	Johnson Ltd	Black	742-02-3335	1922-01-28	(Decimal('-28.716058'), Decimal('81.666483'))
210	A-	Holiday representative	F	Amy Hall	Walker LLC	White	106-83-5567	10/27/1995, 00:00:00	(Decimal('-54.052081'), Decimal('174.547511'))
211	O+	Waste management officer	M	Carl Hensley	Goodman, Fernandez and Ruiz	Black	505-27-8418	1967/09/05	(Decimal('37.1144715'), Decimal('-107.530447'))
212	B-	Civil engineer, contracting	F	Michelle James	Owen-Robinson	Asian	453-24-7282	1971/08/02	(Decimal('55.030067'), Decimal('57.556026'))
213	A+	Engineer, petroleum	F	Pamela Carlson	Martin-Richards	White	426-45-7425	1942-09-28	(Decimal('-73.149968'), Decimal('159.700187'))
214	B-	Food technologist	M	Gerald Mckee	Stewart Inc	White	447-52-8017	15 Dec 2019	(Decimal('41.085703'), Decimal('165.680451'))
215	B+	Radiographer, diagnostic	M	Lucas Munoz	Nunez, Mann and Holt	White	074-82-5877	20 Jun 1931	(Decimal('10.096236'), Decimal('98.693544'))
216	AB+	Designer, interior/spatial	F	Amanda Webb	Rodriguez PLC	White	660-80-4979	2021/05/21	(Decimal('-77.159624'), Decimal('-110.187515'))
217	B-	Event organiser	M	Timothy James	Shannon-Bates	White	032-54-6963	2021/08/07	(Decimal('58.562278'), Decimal('32.717078'))
218	O+	Clinical molecular geneticist	F	Nicole Vargas	Navarro-Jackson	White	005-64-2757	27 Dec 1962	(Decimal('25.259928'), Decimal('-92.689232'))
219	B+	Oncologist	M	Bryce Ellis	Carroll-Middleton	white	647-97-3599	24 Jan 1918	(Decimal('-27.447261'), Decimal('81.370671'))
220	A+	Recycling officer	F	Kendra Green	Ware-Davis	White	840-37-6846	1995-11-20	(Decimal('44.8473685'), Decimal('72.728072'))
221	O+	Museum/gallery conservator	M	Andre Parker	Paul-Smith	Black	137-59-9807	1970-09-25	(Decimal('9.259758'), Decimal('-55.525147'))
222	O-	Engineer, manufacturing	F	Shirley Williams	Nielsen-Mcdowell	Indian	534-89-7403	2004-06-30	(Decimal('37.229126'), Decimal('6.806118'))
223	O+	Ecologist	M	Ryan Williams	Barnes, Hamilton and Hill	white	751-01-7174	1931-01-30	(Decimal('8.8899865'), Decimal('164.936729'))
224	O-	Waste management officer	M	Anthony Burns	Richard-Smith	White	167-62-2629	1997-08-10	(Decimal('-88.5870175'), Decimal('-27.641152'))
225	O+	Hospital doctor	F	Brianna Wilson	Sparks, Dixon and Gomez	White	405-69-0988	1980/06/10	(Decimal('1.355005'), Decimal('-156.122769'))
226	AB+	Publishing rights manager	M	Andrew Cooper	Patterson, Mullins and Andrews	White	493-11-3592	1969/05/11	(Decimal('-30.0450875'), Decimal('-161.774597'))
227	O-	Engineer, control and instrumentation	F	Lisa Young	Flores, Leon and Webb	White	324-44-7863	1996-05-06	(Decimal('57.5763565'), Decimal('-79.216787'))
228	O-	Lobbyist	M	Paul Williamson	Bradford LLC	Hawaiian	057-78-6129	05 Nov 1910	(Decimal('-81.705823'), Decimal('50.257610'))
229	A+	Charity officer	F	Beth Hall	Page Group	White	366-81-2575	1946-11-21	(Decimal('80.172052'), Decimal('26.431307'))
230	AB-	Historic buildings inspector/conservation officer	M	Jordan Mendoza	Nguyen-Page	Asian	288-31-9491	05/27/2019, 00:00:00	(Decimal('-75.067662'), Decimal('164.224403'))
231	B-	Trading standards officer	F	Lauren Rivera	Reed, Alvarez and Wallace	black	575-05-7958	2013-07-10	(Decimal('26.473247'), Decimal('-75.202344'))
232	AB-	Chiropodist	F	Melissa Thompson	Morrow, Johnson and Long	Indian	698-53-3266	06/18/2017, 00:00:00	(Decimal('-26.9458415'), Decimal('-174.880734'))
233	O-	Futures trader	F	Barbara King	Bennett-Ayala	White	317-73-9168	1983-09-07	(Decimal('-16.8337145'), Decimal('-82.128324'))
234	AB+	Health physicist	M	Scott Burton	White LLC	Black	135-27-0128	1994-12-18	(Decimal('48.8587575'), Decimal('-83.548821'))
235	B+	Lecturer, higher education	M	Joshua Bruce	Browning, Nelson and Klein	White	244-79-7069	2006-05-22	(Decimal('-39.308994'), Decimal('-1.840331'))
236	A+	Scientist, physiological	F	Paige Gonzales	Richardson-Tyler	Indian	673-17-3858	11/24/2015, 00:00:00	(Decimal('-87.789902'), Decimal('-114.663858'))
237	B-	Electrical engineer	M	Martin Stone	Gonzales, Fleming and Morris	Black	066-71-1135	1959/06/22	(Decimal('-4.1841225'), Decimal('-127.210540'))
238	AB+	Administrator, local government	M	James Madden	Fox Inc	Black	300-70-5367	06/03/1970, 00:00:00	(Decimal('-62.200940'), Decimal('73.813224'))
239	B-	Research scientist (maths)	F	Stephanie Vasquez	Hansen-Anderson	Black	849-37-4942	23 Sep 1985	(Decimal('-61.322124'), Decimal('-106.996538'))
240	A-	Patent attorney	F	Erica Knight	Ramirez, Smith and Jefferson	White	303-95-6591	16 Jul 1999	(Decimal('53.7516375'), Decimal('-84.186076'))
241	B+	Surveyor, building control	F	Brandy Rodriguez	Atkins, Nelson and Perez	Black	789-07-6660	2019/02/09	(Decimal('-14.5749925'), Decimal('107.927341'))
242	O+	Chartered accountant	M	Martin Mills	Wong Ltd	Black	040-39-8229	11/29/1907, 00:00:00	(Decimal('55.874874'), Decimal('-18.948035'))
243	B-	Veterinary surgeon	F	Kristen Pearson	Guzman LLC	White	255-33-1632	1936-01-17	(Decimal('-8.429953'), Decimal('56.543265'))
244	A+	Hospital pharmacist	M	Antonio Robinson	Sharp-Kim	Black	206-83-7046	2005/02/17	(Decimal('46.288826'), Decimal('-35.827318'))
245	B-	Television floor manager	M	Jose Hill	Mccormick, George and Duffy	Black	633-18-0972	21 Sep 1906	(Decimal('64.6835165'), Decimal('54.749604'))
246	O-	Theme park manager	M	Robert King	Gross-Smith	Black	061-22-7212	18 Aug 1926	(Decimal('84.5018795'), Decimal('140.386393'))
247	B+	Patent attorney	F	Teresa Fox	Fuller-Zimmerman	black	140-91-1715	1941-09-13	(Decimal('62.5167025'), Decimal('-5.296541'))
248	AB-	Teacher, secondary school	M	Daniel Moreno	Jones, Osborne and Powell	black	193-03-7997	2010/08/05	(Decimal('35.1605555'), Decimal('14.246078'))
249	O-	Learning mentor	M	Sean Thomas	Harris Ltd	black	491-64-6068	2013/04/25	(Decimal('-74.402144'), Decimal('35.102079'))
250	AB+	Ophthalmologist	M	Barry Moore	Silva Group	White	071-78-1397	1988/08/06	(Decimal('24.408919'), Decimal('-84.597900'))
251	B-	Advertising art director	F	Lindsay Dorsey	Hubbard and Sons	Black	793-79-2686	1908/10/23	(Decimal('89.8622975'), Decimal('-92.463794'))
252	AB+	Audiological scientist	F	Amy Ingram	Duncan and Sons	blsck	284-79-7303	10/18/1956, 00:00:00	(Decimal('-68.3465465'), Decimal('-168.656875'))
253	B-	Sales promotion account executive	F	Amanda Martin	Garcia Group	Black	669-02-1449	1969-08-29	(Decimal('-6.386227'), Decimal('-102.706720'))
254	O+	Product manager	M	Scott Sweeney	Johnson-Davis	Black	658-55-5345	1923/09/07	(Decimal('11.4312065'), Decimal('67.391065'))
255	AB-	Engineer, maintenance (IT)	F	Andrea Herring	Mayo PLC	White	738-60-1397	09 Sep 2020	(Decimal('28.199120'), Decimal('-84.251829'))
256	A+	Surveyor, building	M	Patrick Smith	Wallace-Reyes	Black	066-09-9209	04 Feb 2020	(Decimal('-82.368330'), Decimal('-167.779367'))
257	AB+	Physiological scientist	F	Elizabeth Ochoa	Crawford-Walters	White	063-24-7253	1974-12-15	(Decimal('10.6655345'), Decimal('50.301006'))
258	B-	Sales professional, IT	M	Jeffrey Donaldson	Gomez-Camacho	White	743-18-8181	1996/03/24	(Decimal('-57.4201465'), Decimal('-159.512930'))
259	A+	Public house manager	M	Jacob Greene	Schultz PLC	White	023-11-8847	1946-03-17	(Decimal('76.1184795'), Decimal('7.578230'))
260	B+	Waste management officer	M	Daniel Allen	Malone LLC	black	891-51-0161	1947/10/23	(Decimal('32.0656245'), Decimal('-165.243705'))
261	AB+	Editor, film/video	F	Stephanie Ayers	Boone and Sons	White	827-21-3169	08/14/2001, 00:00:00	(Decimal('52.870782'), Decimal('63.796890'))
262	O-	Wellsite geologist	M	Connor Stone DDS	Wang-Jones	White	350-22-5094	01/05/1980, 00:00:00	(Decimal('-3.957539'), Decimal('68.112282'))
263	A-	Retail buyer	F	Janice Carter	Shields Ltd	Black	704-61-4692	12 Aug 1961	(Decimal('-58.2154785'), Decimal('-169.473802'))
264	O+	Records manager	M	Michael Ramirez	Burns, Wright and Todd	Black	663-85-4778	1955-11-12	(Decimal('55.7663725'), Decimal('-22.558214'))
265	O+	Surveyor, minerals	F	Meagan Graham	Howard Ltd	Black	215-60-8971	1920/07/25	(Decimal('25.855381'), Decimal('29.760316'))
266	O+	Company secretary	F	Deborah Moore	Nelson, Ramirez and Dudley	White	245-10-0715	03/08/2016, 00:00:00	(Decimal('-16.3655785'), Decimal('51.505249'))
267	B-	Lighting technician, broadcasting/film/video	F	Samantha Cummings	Brown-Ramirez	White	707-82-5978	1976-07-30	(Decimal('82.5423245'), Decimal('117.358618'))
268	AB+	Chartered certified accountant	F	Teresa Davis	Graves-James	Asian	450-34-9527	05/19/1922, 00:00:00	(Decimal('-42.829487'), Decimal('154.474472'))
269	AB+	Scientist, physiological	M	Jeffrey Larson	Smith, Gardner and Hart	Asian	284-92-8948	2011/06/21	(Decimal('-76.5239555'), Decimal('94.823076'))
270	B+	Actor	F	Mrs. Catherine Smith	Williams, Santiago and Smith	Black	699-15-4081	12/09/1963, 00:00:00	(Decimal('29.839266'), Decimal('102.065736'))
271	O-	Commissioning editor	M	Michael Baker	Patterson, Hogan and Foster	White	457-26-3804	1958-05-19	(Decimal('-59.5192675'), Decimal('24.447556'))
272	O+	Archivist	M	Bryan Perez	Shelton Ltd	White	350-37-6409	1978-08-23	(Decimal('9.6549115'), Decimal('-70.736723'))
273	O-	Futures trader	M	Mark Patel MD	Davis, Guerra and Hicks	White	759-58-4135	2018-09-25	(Decimal('65.7985505'), Decimal('-0.322771'))
274	A-	Teacher, secondary school	F	Pamela Wheeler	Morgan-Gibson	White	652-10-7460	1931-10-17	(Decimal('-40.544428'), Decimal('164.156393'))
275	A+	Lecturer, higher education	M	Steven Nguyen	Hensley-Clark	White	399-56-7042	1940-11-09	(Decimal('19.717507'), Decimal('-39.625228'))
276	AB+	Quarry manager	M	Anthony Richardson	Brown, Tate and Li	Asian	665-44-4387	10 Oct 1975	(Decimal('-70.439633'), Decimal('33.470482'))
277	A+	Herpetologist	F	Paula Pratt	King Inc	Black	574-16-1976	2009-11-20	(Decimal('79.540240'), Decimal('114.769387'))
278	AB-	Advertising account planner	M	Samuel Pace	Hernandez Group	Black	742-46-7590	08/13/1966, 00:00:00	(Decimal('-35.6441365'), Decimal('3.651501'))
279	AB-	Armed forces logistics/support/administrative officer	M	Carlos Hoover	Jenkins, Martin and Smith	Black	535-82-0562	07/04/1963, 00:00:00	(Decimal('36.4976605'), Decimal('171.736081'))
280	B+	Chemist, analytical	F	Crystal Dean	May LLC	White	698-87-9617	1985-11-01	(Decimal('-69.2759755'), Decimal('-101.274722'))
281	B-	Research scientist (medical)	F	Jennifer Becker	Lewis, Sanchez and Perez	Hawaiian	152-22-0410	1919-10-30	(Decimal('-0.130896'), Decimal('-68.330125'))
282	AB+	Investment banker, corporate	F	Judy Hutchinson	Brown PLC	White	044-93-7301	1912-01-25	(Decimal('-57.055044'), Decimal('-119.428391'))
283	B-	Psychologist, educational	F	Jennifer Weber	Morgan Group	White	391-56-9854	01/13/1922, 00:00:00	(Decimal('8.4473675'), Decimal('-175.760654'))
284	AB+	Dispensing optician	M	Eric Williams	Nolan-Sloan	Asian	272-92-5074	2002/08/19	(Decimal('-21.354547'), Decimal('-38.501069'))
285	O+	Clinical biochemist	M	Dustin Powers	Stewart-James	White	809-13-6960	1933-07-12	(Decimal('14.9620455'), Decimal('-121.407624'))
286	O-	IT consultant	F	Angela Santos	Woods PLC	Black	754-85-0918	10 Feb 1982	(Decimal('4.9417875'), Decimal('-57.241493'))
287	B+	Government social research officer	F	Rhonda James	Bush, Johnson and Thomas	Black	893-02-5733	1949-01-15	(Decimal('0.0793885'), Decimal('-18.406095'))
288	AB-	Medical illustrator	F	Stephanie Moore	Banks Ltd	White	597-57-5124	11/05/1935, 00:00:00	(Decimal('-39.658462'), Decimal('-153.718138'))
289	O+	Academic librarian	F	Joan Mccormick	Young-Walker	White	082-89-5168	1908/03/04	(Decimal('5.451914'), Decimal('109.997676'))
290	O+	Sound technician, broadcasting/film/video	M	Steven Odonnell	Gonzalez Inc	White	505-84-2349	1942-05-20	(Decimal('28.760222'), Decimal('-23.706023'))
291	B-	Librarian, academic	M	Matthew Lawson	Kaiser Inc	White	859-59-4008	2018-09-06	(Decimal('38.304491'), Decimal('-53.029113'))
292	B+	Education officer, museum	F	Crystal Neal	Graham, Andrews and Carlson	White	131-61-8133	1907-01-23	(Decimal('-4.2763905'), Decimal('-107.302882'))
293	B+	Information systems manager	M	Trevor Matthews	Vazquez Group	Black	338-02-6933	1933/06/17	(Decimal('71.165032'), Decimal('-8.668732'))
294	AB-	Geographical information systems officer	F	Sharon Delgado	Davis, Alexander and Gillespie	White	638-27-8351	1968-03-30	(Decimal('-28.5532445'), Decimal('-178.958894'))
295	A-	Tourism officer	F	Hannah Case	Higgins PLC	White	642-41-5267	12 Feb 1929	(Decimal('-74.3845575'), Decimal('-170.743016'))
296	O-	Structural engineer	F	Megan Crawford	Taylor PLC	Black	536-93-4406	1974-08-22	(Decimal('10.1084155'), Decimal('40.724568'))
297	AB-	Corporate treasurer	M	Daniel Greer	Jenkins Ltd	Black	522-98-9015	07/15/1956, 00:00:00	(Decimal('-9.9712565'), Decimal('158.239206'))
298	B+	Drilling engineer	F	Rachel Craig	Reyes-Hill	Black	474-54-8717	06/16/1998, 00:00:00	(Decimal('-87.905316'), Decimal('129.157994'))
299	O+	Geochemist	F	Melinda Watts	Day, King and Rodriguez	White	360-97-6640	05 Aug 1970	(Decimal('-73.108330'), Decimal('-74.285596'))
300	B+	Tourist information centre manager	M	Ryan Carson	Ward PLC	White	445-91-7915	1943/06/27	(Decimal('-5.501947'), Decimal('-6.570984'))
301	O+	Sales professional, IT	M	Jeffery Cabrera	Dawson Inc	White	279-74-2215	2007/11/09	(Decimal('71.2412955'), Decimal('-141.726173'))
302	B+	Optometrist	F	Karla Gonzalez	Peters Inc	Black	742-93-3676	07/05/2012, 00:00:00	(Decimal('86.5287705'), Decimal('-33.151003'))
303	AB-	Biomedical engineer	F	Brenda Bowers	Miller, Nguyen and Hines	White	211-88-3207	1907-05-12	(Decimal('-25.6932405'), Decimal('44.485873'))
304	A+	Commercial horticulturist	M	Eduardo Boone	Wood Ltd	Black	533-10-1538	11/22/1928, 00:00:00	(Decimal('-40.475021'), Decimal('-70.484370'))
305	O-	Best boy	M	Russell Jacobs	Smith, Hooper and Adams	Asian	457-13-0014	1910/11/29	(Decimal('-59.517690'), Decimal('6.594026'))
306	B-	Drilling engineer	M	David May	Hartman PLC	White	123-25-8223	07 Jan 1993	(Decimal('-57.960994'), Decimal('-42.030078'))
307	AB-	Designer, ceramics/pottery	F	Kristy Kelly	Smith Group	Black	033-51-9095	09 Feb 1914	(Decimal('-82.754527'), Decimal('122.300718'))
308	A+	Engineer, petroleum	M	James Jones	Kelly, Clark and Duran	White	535-07-3692	1965/02/22	(Decimal('-58.131291'), Decimal('-132.973681'))
309	AB-	Scientist, biomedical	F	Kristina Duncan	Morris LLC	black	025-76-6969	08/10/1943, 00:00:00	(Decimal('-62.973228'), Decimal('-132.618256'))
310	AB-	Trading standards officer	F	Samantha Dyer	Davila-Tanner	Black	678-41-4757	1928-05-28	(Decimal('-57.280337'), Decimal('96.022545'))
311	AB+	Armed forces training and education officer	F	Elizabeth Harmon	Hicks, Odom and Wilson	White	360-36-0154	21 Feb 2006	(Decimal('62.6286185'), Decimal('86.588819'))
312	AB-	Advertising account planner	F	Rachael Smith	Jackson, Graves and Clark	Indian	583-41-3789	09/26/2012, 00:00:00	(Decimal('29.429385'), Decimal('52.248826'))
313	O-	Surveyor, insurance	M	Jerry Taylor	Wright, Jackson and Freeman	Black	392-69-1893	1977-11-16	(Decimal('3.9467115'), Decimal('-107.221729'))
314	B-	Mechanical engineer	M	Peter Davis	Bell, Cobb and Macias	White	108-70-4638	1912/08/19	(Decimal('-86.275503'), Decimal('24.672916'))
315	O-	Network engineer	F	Emily Washington	Woodard Ltd	White	238-57-2745	06/06/1957, 00:00:00	(Decimal('-74.047289'), Decimal('-18.180014'))
316	O-	Printmaker	F	Dana Campbell	Johnston-Wilkins	White	442-08-3127	1921/07/26	(Decimal('-75.3223375'), Decimal('90.705533'))
317	O-	Designer, ceramics/pottery	F	Crystal Collins	Bailey Group	Black	058-23-6295	1910/02/05	(Decimal('-83.4710075'), Decimal('-106.019798'))
318	B-	Sales promotion account executive	F	Terry Ramirez	Mcdowell, Hoover and Chavez	Black	719-39-5054	02 Aug 1955	(Decimal('-69.127785'), Decimal('-6.242464'))
319	A-	Immigration officer	F	Judith Coffey	Garcia-Taylor	Black	845-35-6316	1923/08/08	(Decimal('71.7176565'), Decimal('-154.234241'))
